student_uni_id,sprofileid,pcmciiid,coursecode,coursename,l_actual_conducted,t_actual_conducted,p_actual_conducted,s_actual_conducted,,l_attended,t_attended,p_attended,s_attended,,l_absent,t_absent,p_absent,s_absent,l_extra,t_extra,p_extra,s_extra,l_ambigous,t_ambigous,p_ambigous,s_ambigous,lc_considered,tc_considered,pc_considered,sc_considered,le_upper_considered,te_upper_considered,pe_upper_considered,se_upper_considered,l_after_e_considered,t_after_e_considered,p_after_e_considered,s_after_e_considered,attendance_percentage
2300090350,67632,68503,23AD2001O,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,19,0,13,0,,17,0,13,0,,2,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,2,0,2,0,17,0,13,0,93
2300090362,64763,68503,23AD2001O,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,19,0,13,0,,15,0,13,0,,4,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,2,0,2,0,15,0,13,0,85
2300090257,70547,68503,23AD2001O,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,19,0,13,0,,17,0,9,0,,2,0,4,0,0,0,0,0,0,0,0,0,19,0,13,0,2,0,2,0,17,0,9,0,85
2300090115,67304,68499,23AD2102R,DATABASE MANAGEMENT SYSTEMS,22,0,14,0,,20,0,14,0,,2,0,0,0,0,0,0,0,0,0,0,0,22,0,14,0,3,0,2,0,20,0,14,0,94
2300090239,67875,68499,23AD2102R,DATABASE MANAGEMENT SYSTEMS,22,0,14,0,,21,0,11,0,,1,0,3,0,0,0,0,0,0,0,0,0,22,0,14,0,3,0,2,0,21,0,11,0,92
2300090327,70470,68499,23AD2102R,DATABASE MANAGEMENT SYSTEMS,22,0,14,0,,18,0,12,0,,4,0,2,0,0,0,0,0,0,0,0,0,22,0,14,0,3,0,2,0,18,0,12,0,83
2300090158,64266,68499,23AD2102R,DATABASE MANAGEMENT SYSTEMS,22,0,14,0,,16,0,13,0,,6,0,1,0,0,0,0,0,0,0,0,0,22,0,14,0,3,0,2,0,16,0,13,0,78
2300090257,70547,68499,23AD2102R,DATABASE MANAGEMENT SYSTEMS,22,0,14,0,,16,0,12,0,,6,0,2,0,0,0,0,0,0,0,0,0,22,0,14,0,3,0,2,0,16,0,12,0,76
2300090071,67531,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090156,67285,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090141,66563,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,10,0,0,,34,10,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,4,1,0,0,34,10,0,0,100
2300090240,70467,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,39,13,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,39,13,0,0,100
2300090159,67257,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,10,0,0,,34,10,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,4,1,0,0,34,10,0,0,100
2300090376,68055,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,10,0,0,,34,10,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,4,1,0,0,34,10,0,0,100
2300090318,68771,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,12,0,0,,34,12,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0,4,2,0,0,34,12,0,0,100
2300090013,63943,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090129,69401,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090124,68457,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090058,68975,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090057,67616,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090278,67525,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090284,68165,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090344,68980,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,33,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,33,11,0,0,100
2300090145,68637,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,38,13,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,38,13,0,0,99
2300090368,67943,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,10,0,0,,28,9,0,0,,1,0,0,0,0,0,0,0,5,1,0,0,29,9,0,0,3,1,0,0,28,9,0,0,98
2300090202,67792,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,32,11,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,32,11,0,0,98
2300090317,67626,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,35,8,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,35,8,0,0,98
2300090299,68695,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,37,13,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,37,13,0,0,97
2300090075,68816,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,38,12,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,38,12,0,0,97
2300090028,64391,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,37,13,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,37,13,0,0,97
2300090022,62767,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,10,0,0,,33,10,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,4,1,0,0,33,10,0,0,96
2300090321,69518,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,32,10,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,32,10,0,0,96
2300090292,69464,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,32,10,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,32,10,0,0,96
2300090207,67637,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,31,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,31,11,0,0,96
2300090226,67935,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,31,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,31,11,0,0,96
